Alpha,q,delta_e,pred_y1,pred_y2,pred_y3
0.147566155,0.19563614,-0.102641188,0.2832236686611995,0.22485120674997808,-0.2578143584312291
0.144783735,0.194862797,-0.10879678,0.2786753463910972,0.22195605116751882,-0.2532641196134515
0.142150901,0.195012662,-0.132345564,0.26797196174647503,0.2185093777858598,-0.2413713393438012
0.139604569,0.194906904,-0.129768788,0.26677394322248527,0.2163631209672616,-0.24087447740949502
0.137110958,0.19444704,-0.122754271,0.26722231178098177,0.2144173810202248,-0.2422903053993436
0.134627644,0.193438224,-0.117529177,0.26703318680644594,0.21229843005740034,-0.2428501331243082
0.132091966,0.191690714,-0.105289536,0.2693330094185842,0.21034524437733035,-0.24632075797346623
0.129512697,0.189886584,-0.094767716,0.2709761481429923,0.20826024930976114,-0.2490071017020658
0.126930049,0.188356415,-0.100064412,0.26690492802184573,0.20545195243124537,-0.2448423157254696
0.124342886,0.18692848,-0.098274989,0.2653884933346813,0.20300144934139847,-0.24377681310044153
0.121864379,0.186797087,-0.099133915,0.2630066512670389,0.20074395160566683,-0.24182221201645676
0.11959932,0.187827844,-0.128838291,0.25038810180384785,0.19747700968499263,-0.22761289340002444
0.117483035,0.188703992,-0.12712047,0.2492394074266093,0.1958402836527136,-0.22716115829739444
0.115453707,0.188922408,-0.122754271,0.2491196381848213,0.1942947037641258,-0.22781831523219961
0.11345553,0.188529705,-0.107866282,0.2528249718797241,0.1931812319773699,-0.232985879537715
0.111434193,0.187301777,-0.104430611,0.25237589970110585,0.19134606243129432,-0.23302399140434146
0.109350196,0.185653934,-0.083458602,0.2582062340510263,0.19023378196859858,-0.24059784893386613
0.107252264,0.184187124,-0.090401547,0.2539457689213499,0.18778545150336745,-0.23603075117540084
0.105151862,0.183002376,-0.085176423,0.2540767199131892,0.185974707447026,-0.2368050837941913
0.103076441,0.182025355,-0.094767716,0.24887884163470025,0.18350288690576316,-0.23117263367850197
0.100990949,0.180856165,-0.087824771,0.24964250289077253,0.1817914359167849,-0.23270697826735326
0.098913287,0.179796008,-0.086894273,0.24824181649709115,0.17981398254999004,-0.23164376288917754
0.096841373,0.178711631,-0.087824771,0.246173991587473,0.177747057174201,-0.22976986673069455
0.094754128,0.177436257,-0.083458602,0.24600580035806602,0.17589049652138736,-0.23016462250681122
0.092636608,0.175941262,-0.079951329,0.24550218464992932,0.17392726482371368,-0.23013297106697206
0.090521492,0.174794553,-0.074726205,0.24562083663210948,0.1721101160884141,-0.23090379206251394
0.088499472,0.174582458,-0.086035348,0.23984733681988146,0.16973514968043305,-0.22467236961286588
0.086601312,0.174920034,-0.096557139,0.2344616543642327,0.16760357187232078,-0.2189450326720691
0.08477075,0.174833188,-0.098274989,0.23231128231129183,0.16588541519189376,-0.2170310048098624
0.082935055,0.174032757,-0.083458602,0.23612657696407635,0.16484133508390858,-0.22220802147392116
0.081025687,0.172231379,-0.077302981,0.23675317897629622,0.16313757129236306,-0.22341469720915935
0.079023126,0.170184881,-0.054613121,0.24327184159359563,0.16211142482596658,-0.2317278221747472
0.077042068,0.169019416,-0.067711688,0.23688647987931077,0.15952006056858575,-0.22459854301121793
0.075078487,0.168020183,-0.074726205,0.23271247264525735,0.15726842828192023,-0.22015557916022216
0.073141606,0.167288351,-0.069429538,0.23300593791338478,0.15568459032097443,-0.22113253509205427
0.071256829,0.166748373,-0.079092403,0.2279415712311334,0.153453966176215,-0.21565504569763017
0.069352367,0.165601587,-0.072077886,0.22888239250421494,0.15191005850139055,-0.21733794011313487
0.067385277,0.163896522,-0.060697141,0.2313473630056475,0.15042563563521985,-0.22079886549730005
0.065423027,0.162802514,-0.054613121,0.23190390975969688,0.14879460150314783,-0.22204803791051886
0.063536366,0.162366338,-0.073795707,0.2234007170191918,0.14611820163958625,-0.2124383367556872
0.061711618,0.162150518,-0.069429538,0.22345193948694714,0.14467812674372577,-0.2131586201688711
0.059884206,0.161120604,-0.077302981,0.21908162269752485,0.14249994182547043,-0.20842261244861804
0.057908021,0.158673574,-0.045880753,0.22877529682802428,0.14185142298964165,-0.22049552756275892
0.055810738,0.156025602,-0.037148386,0.2301752024642824,0.13995928570770197,-0.22257825684054763
0.053704457,0.15450538,-0.037148386,0.22841462271913873,0.1378313428427117,-0.22102212286301834
0.051632316,0.15339192,-0.063345489,0.21722368626084246,0.1345325322970507,-0.2081377271690123
0.049528699,0.152059626,-0.045021828,0.2220813913700513,0.1333291885102889,-0.21459335258727782
0.047480661,0.151397521,-0.054613121,0.21690640175418582,0.13093635262251663,-0.20902577201199923
0.045409917,0.150005493,-0.059838245,0.2132889097160278,0.12860847631495398,-0.20523537407830958
0.043220382,0.147708977,-0.032782187,0.2212277734825014,0.1275853927247787,-0.21529484412056915
0.040978646,0.145711161,-0.032782187,0.21935397079634122,0.12525455852094797,-0.2135811898659516
0.038682988,0.143677346,-0.037148386,0.21585860855782713,0.12265778788140771,-0.20992625320773667
0.036369886,0.142174228,-0.028415989,0.21707812812753857,0.12077376128010328,-0.21204625324411353
0.034187562,0.142175805,-0.047598604,0.2083277887129593,0.11791187594836187,-0.20231658159243562
0.032107982,0.14216616,-0.065063339,0.20028359878143165,0.11522234459347248,-0.19339820190729326
0.030025317,0.141358302,-0.045021828,0.2057790749599588,0.11421212312007382,-0.20069461895877627
0.027920238,0.140025227,-0.041514555,0.20528585832612842,0.11228805315904938,-0.20069528974709228
0.025807883,0.138872652,-0.028415989,0.20824965341338997,0.11085456234306718,-0.2048965788157419
0.023774202,0.138452729,-0.043232405,0.20120004811238046,0.10826287309374774,-0.19709863831774466
0.021811206,0.138224598,-0.045021828,0.1989131356809154,0.10639949958486364,-0.19504867900800632
0.019923212,0.138114342,-0.045880753,0.19702488681736086,0.10466815587489021,-0.1934690904529734
0.018092098,0.13785185,-0.045880753,0.19549431125820566,0.1030023671880331,-0.1922764338867148
0.016262639,0.137012019,-0.039725132,0.19618770690668333,0.10153649638421652,-0.1936788485120442
0.014375069,0.135441979,-0.028415989,0.19869329281488682,0.10014243344202735,-0.19717907534870432
