Alpha,q,delta_e,prediction_0
0.028562524,0.014646873,0.09071935,0.05653763
0.029014014,0.015069125,0.090838085,0.05664134
0.029457961,0.015517676,0.090927742,0.056739092
0.029895755,0.015988642,0.090040866,0.056658506
0.030325218,0.016387264,0.090157178,0.05675721
0.030748539,0.016853975,0.089951209,0.056798697
0.031164034,0.017216335,0.089093412,0.056718826
0.03156461,0.017278218,0.090099022,0.05697465
0.031949384,0.017206524,0.090661195,0.05714798
0.032320329,0.017156529,0.09054246,0.057192326
0.032678175,0.017108947,0.090040866,0.057169437
0.033024593,0.017142158,0.090069944,0.05723715
0.03336106,0.017201383,0.089035256,0.057110548
0.033683601,0.017113041,0.089447193,0.057245016
0.033989949,0.016860708,0.089655584,0.057338715
0.034276528,0.016396203,0.090217757,0.057492733
0.034542458,0.015823445,0.090809007,0.05764842
0.034792948,0.015424124,0.090690273,0.057673454
0.035032452,0.015196623,0.089330881,0.057472706
0.03525992,0.014977657,0.089212146,0.057490826
0.035475307,0.014735392,0.089003755,0.057494164
0.035675527,0.014333696,0.08912249,0.05755186
0.035856813,0.013724379,0.089893054,0.057724714
0.036019265,0.013044662,0.090394647,0.05784464
0.036166187,0.012457845,0.090246835,0.057845116
0.036298342,0.011880537,0.089626506,0.057756662
0.036415866,0.011328973,0.090069944,0.057859182
0.036524284,0.010980763,0.089359959,0.057751656
0.036624726,0.010703262,0.088560317,0.057624817
0.036715977,0.010404966,0.088768709,0.05767846
0.036795606,0.009957306,0.088620896,0.05766678
0.036858268,0.009257072,0.089745241,0.057881832
0.036904376,0.008488039,0.090365569,0.058003187
0.036936383,0.007771128,0.090246835,0.05798745
0.036956187,0.00712883,0.090040866,0.057953835
0.03696642,0.006604291,0.089774319,0.057906628
0.036966377,0.006041045,0.089270302,0.057815075
0.036954832,0.005447068,0.090099022,0.057963848
0.036934754,0.004920466,0.089565927,0.05786395
0.036905929,0.004407389,0.08971374,0.05788517
0.036867216,0.003816077,0.089565927,0.057850838
0.036817101,0.00315925,0.090365569,0.05798769
0.036757943,0.002548437,0.090157178,0.05793929
0.036690051,0.00195498,0.090188679,0.0579319
0.036613463,0.001351098,0.090188679,0.05791807
0.036529182,0.000789125,0.090423725,0.057945013
0.036439699,0.000319461,0.090069944,0.057865143
0.036345272,-0.000121559,0.089951209,0.057826042
0.036247627,-0.000474347,0.090040866,0.05782509
0.036149471,-0.000710861,0.089507772,0.057711124
0.036048192,-0.001039129,0.089389037,0.057670116
0.03593911,-0.00157399,0.09030499,0.05781603
0.035823538,-0.002100272,0.091014976,0.057923317
0.03570442,-0.002542285,0.090455226,0.057800055
0.035583356,-0.002870135,0.090632117,0.057810307
0.035464562,-0.003014988,0.089861553,0.057648897
0.035347552,-0.00313208,0.08953685,0.05756831
0.035232425,-0.003212972,0.089832475,0.05760002
0.035120694,-0.003238256,0.089447193,0.057510614
0.035013365,-0.003179633,0.089595005,0.057518244
