Alpha,q,delta_e,Output1
0.058714462,0.104374251,0.073328349,0.051573068
0.059624227,0.101586,0.075545538,0.051919892
0.060416032,0.096973211,0.079863605,0.05243565
0.061041687,0.089665993,0.087525629,0.05323124
0.061448772,0.079231545,0.098323219,0.05425764
0.061595741,0.065938239,0.109590901,0.05519712
0.061465098,0.050846458,0.11920599,0.05582738
0.061068561,0.035385845,0.123761527,0.05579021
0.060433169,0.020579876,0.123938417,0.055205666
0.059589836,0.006904534,0.121689727,0.054328687
0.058564262,-0.005697471,0.118731052,0.053367294
0.05737228,-0.017597533,0.116986378,0.05254232
0.056024338,-0.02908206,0.116719831,0.051877964
0.054530428,-0.040236027,0.117105113,0.051274564
0.052901715,-0.051022726,0.117577629,0.05066797
0.051152497,-0.061277856,0.117844176,0.050958753
0.049298062,-0.070927765,0.117282003,0.05128247
0.047351163,-0.080011195,0.117105113,0.051621195
0.045325172,-0.088501558,0.116867643,0.05189139
0.043233614,-0.09636691,0.11654294,0.05208779
0.041089301,-0.103615935,0.116099502,0.052207194
0.038903323,-0.11030151,0.115832955,0.05231081
0.03668565,-0.116468826,0.115745721,0.05240412
0.034445965,-0.122125806,0.115774799,0.05235701
0.032194829,-0.127223969,0.11571422,0.05213903
0.029942175,-0.131776658,0.115360439,0.051830657
0.02769705,-0.135789164,0.115331362,0.05159009
0.025467916,-0.139302608,0.114946079,0.051247243
0.023261163,-0.14237509,0.11512297,0.05103754
0.021083198,-0.14503594,0.115064814,0.050760813
0.018939423,-0.147305892,0.115360439,0.05056772
0.016837624,-0.14908981,0.115360439,0.050292153
0.014786267,-0.15033331,0.114887924,0.04988899
0.012792002,-0.151084597,0.114383907,0.04947247
0.010861247,-0.151342122,0.11411736,0.049111675
0.009004263,-0.150933979,0.113467953,0.048646033
0.007235254,-0.149647943,0.111839592,0.04792054
0.005575612,-0.147068953,0.109503668,0.04699524
0.00406117,-0.142464508,0.104710662,0.04541116
0.002740483,-0.135064241,0.096871747,0.043004237
0.001661927,-0.124663665,0.086163814,0.03982093
0.000854702,-0.111936163,0.076255523,0.036814965
0.000323704,-0.098025747,0.06963061,0.0346497
5.5e-05,-0.083992851,0.06720503,0.033585854
2.56e-05,-0.070518018,0.06761939,0.033295125
0.000211973,-0.057836211,0.069688766,0.03463938
0.000593285,-0.045958731,0.071552174,0.03537978
0.001151983,-0.034750262,0.073534317,0.036089994
0.001876465,-0.023980274,0.074302458,0.03667228
0.002757282,-0.013499169,0.07451085,0.037207957
0.0037849,-0.003304378,0.074067412,0.037684266
0.00494904,0.006596713,0.07409649,0.03823342
0.006240381,0.016193177,0.073563395,0.03872963
0.007646934,0.025380696,0.073534317,0.0392946
0.009157692,0.034155134,0.073623974,0.03988006
0.010761772,0.042493157,0.073534317,0.040447555
0.012448377,0.050394744,0.073711208,0.04104832
0.014207383,0.05785261,0.073563395,0.041609533
0.016027463,0.06481644,0.073742709,0.042205296
0.017897285,0.071247042,0.073919599,0.042792745
0.019807137,0.077208238,0.074363037,0.043404326
0.02174811,0.08269662,0.07409649,0.043921493
0.02371026,0.087703264,0.074569005,0.044515222
0.025684584,0.092202986,0.074392115,0.045017056
0.027658135,0.096044901,0.075073022,0.04559975
0.029617732,0.09914902,0.076018054,0.046187192
0.031549145,0.101435131,0.07735079,0.04678884
0.033433741,0.102651377,0.078976729,0.047381595
0.035242986,0.102299689,0.08223103,0.048103295
0.036936539,0.099699807,0.087583785,0.048980184
0.038460213,0.094041193,0.095955794,0.0500855
0.039760344,0.085132771,0.107492447,0.051420115
0.040803323,0.073658153,0.117844176,0.05248016
0.041581542,0.060865601,0.125239653,0.053093307
0.042112211,0.048063243,0.127398686,0.05303318
0.042424669,0.036148407,0.126007794,0.052536257
0.042550579,0.025470775,0.122104087,0.051744036
0.042514472,0.01589837,0.118377271,0.050978273
0.042333527,0.00711826,0.115479174,0.05030998
0.042016907,-0.001258152,0.114030126,0.04980229
0.04157049,-0.009442759,0.113969547,0.049442135
0.040998805,-0.017571067,0.114146438,0.04908835
0.040307799,-0.025566831,0.115183549,0.048819024
0.039507502,-0.033291278,0.114975157,0.048388943
0.038607952,-0.040642595,0.115152048,0.047998223
0.037619014,-0.047648829,0.114325751,0.047481906
0.036547629,-0.054353431,0.114769189,0.047532246
0.035404183,-0.060669016,0.114325751,0.04774114
0.03420148,-0.066401746,0.114207016,0.047957733
0.032958903,-0.07125753,0.112430842,0.047790937
0.031698891,-0.074962224,0.110213653,0.04745211
0.03045108,-0.077130766,0.106426258,0.046705034
0.029247892,-0.07750692,0.10134005,0.0455866
0.028119014,-0.076106637,0.095512356,0.04420735
0.027084247,-0.073312644,0.090246835,0.04284394
0.026148137,-0.069844907,0.086815644,0.041790016
0.025301691,-0.066426366,0.086372206,0.04131496
0.024529701,-0.063532921,0.08787941,0.041310295
0.023815319,-0.061371468,0.09071935,0.041584574
0.023148166,-0.059738489,0.093678026,0.041864753
