Alpha,q,delta_e,Cd
0.035353505,0.003361647,0.090069944,0.059356003065716756
0.035267848,0.003261584,0.089861553,0.05929965879369137
0.035186796,0.003280975,0.089064334,0.0591319066002165
0.035108407,0.003267291,0.089151568,0.05913261473748643
0.035031641,0.003207789,0.089389037,0.05916240314811372
0.034955192,0.003077258,0.089565927,0.05918116742248958
0.034877131,0.002851147,0.089980287,0.05924518010387292
0.034797728,0.00261771,0.090336492,0.059297931340836385
0.034718221,0.002419721,0.090157178,0.05924890116104109
0.034638575,0.00223496,0.090217757,0.059245263583072916
0.034562274,0.002217959,0.090188679,0.05922435764259992
0.034492544,0.002351329,0.089183069,0.05901873524962231
0.034427394,0.002464694,0.089241224,0.05901590021060099
0.034364921,0.002492955,0.089389037,0.0590310925475781
0.034303407,0.002442143,0.089893054,0.05911448035454203
0.03424118,0.002283261,0.090009365,0.05912480278234655
0.034177024,0.002070046,0.09071935,0.05924763125440169
0.034112439,0.001880255,0.090484304,0.059191014920358276
0.034047778,0.00172696,0.090661195,0.05921230160322
0.033983886,0.001600543,0.090336492,0.05913846405630485
0.033919684,0.001449261,0.090571538,0.05917086122805815
0.033855723,0.001312087,0.090603039,0.05916462498705277
0.033791939,0.001171779,0.090571538,0.059146494948558725
0.033727683,0.001006758,0.09071935,0.05916241483240059
0.033662495,0.00081332,0.090838085,0.05917279096463224
0.033597381,0.000664947,0.091014976,0.05919395830734686
0.033535133,0.000637504,0.090632117,0.05910886757357492
0.033476698,0.000681183,0.090275913,0.059029203325935864
0.033420344,0.000669946,0.090217757,0.0590067965699439
0.033363832,0.000566378,0.09071935,0.05909103938142146
0.033305052,0.000333297,0.090927742,0.05911994531700793
0.033243403,6.85e-05,0.091695883,0.059254605841129626
0.033182416,-8.23e-05,0.091252445,0.05915897724200425
0.033121967,-0.000211591,0.091014976,0.05910239765808667
0.03306234,-0.000306283,0.091194289,0.05912483595492257
0.033004317,-0.000376151,0.090867163,0.0590514106547535
0.032945688,-0.000524534,0.091104632,0.05908538496193083
0.032885131,-0.000745153,0.091489915,0.059147408780115374
0.032824723,-0.000886707,0.091695883,0.05917500742914217
0.032766642,-0.000943144,0.091046477,0.059040370752921234
0.032710467,-0.000971069,0.091194289,0.05905715934042255
0.03265421,-0.00110433,0.090927742,0.058995939091781135
0.032593373,-0.001420952,0.091991508,0.059187128250919985
0.032528808,-0.001763574,0.092287133,0.05923202317909082
