a,q,delta e,cd
-0.01120301,0.486042527,-0.15,0.00579433
-0.011073772,0.489529913,-0.15,0.005817929
-0.010941718,0.493013177,-0.15,0.005842042
-0.010806856,0.496492298,-0.15,0.005866668
-0.010669194,0.499967253,-0.15,0.005891805
-0.010528741,0.50343802,-0.15,0.005917452
-0.010385506,0.506904577,-0.15,0.005943607
-0.010239497,0.510366903,-0.15,0.005970268
-0.010090722,0.513824976,-0.15,0.005997434
-0.00993919,0.517278774,-0.15,0.006025104
-0.009784909,0.520728275,-0.15,0.006053276
-0.009627887,0.52417346,-0.15,0.006081948
-0.009468134,0.527614305,-0.15,0.006111119
-0.009305658,0.531050791,-0.15,0.006140787
-0.009140466,0.534482895,-0.15,0.006170951
-0.008972568,0.537910597,-0.15,0.006201609
-0.008801973,0.541333876,-0.15,0.00623276
-0.008628687,0.544752711,-0.15,0.006264402
-0.00845272,0.548167082,-0.15,0.006296533
-0.008274081,0.551576968,-0.15,0.006329153
-0.008092778,0.554982348,-0.15,0.006362259
-0.007908819,0.558383201,-0.15,0.00639585
-0.007722213,0.561779509,-0.15,0.006429924
-0.007532968,0.565171249,-0.15,0.00646448
-0.007341093,0.568558403,-0.15,0.006499516
-0.007146596,0.57194095,-0.15,0.006535032
-0.006949486,0.57531887,-0.15,0.006571024
-0.006749772,0.578692144,-0.15,0.006607492
-0.006547461,0.58206075,-0.15,0.006644434
-0.006342562,0.585424671,-0.15,0.006681848
-0.006135084,0.588783887,-0.15,0.006719734
-0.005925035,0.592138377,-0.15,0.006758089
-0.005712424,0.595488122,-0.15,0.006796911
-0.005497259,0.598833104,-0.15,0.006836201
-0.005279548,0.602173302,-0.15,0.006875954
-0.005059301,0.605508699,-0.15,0.006916172
-0.004836526,0.608839274,-0.15,0.00695685
-0.00461123,0.612165009,-0.15,0.006997989
-0.004383424,0.615485886,-0.15,0.007039587
-0.004153114,0.618801885,-0.15,0.007081641
-0.00392031,0.622112987,-0.15,0.007124151
-0.003685021,0.625419175,-0.15,0.007167115
-0.003447254,0.62872043,-0.15,0.007210531
-0.003207018,0.632016733,-0.15,0.007254399
-0.002964322,0.635308067,-0.15,0.007298715
-0.002719174,0.638594412,-0.15,0.007343479
-0.002471582,0.641875751,-0.15,0.007388689
-0.002221556,0.645152067,-0.15,0.007434344
-0.001969103,0.64842334,-0.15,0.007480442
-0.001714233,0.651689554,-0.15,0.007526981
-0.001456953,0.654950691,-0.15,0.00757396
-0.001197273,0.658206732,-0.15,0.007621378
-0.0009352,0.661457661,-0.15,0.007669233
-0.000670743,0.66470346,-0.15,0.007717522
-0.000403911,0.667944112,-0.15,0.007766246
-0.000134712,0.6711796,-0.15,0.007815402
0.000136846,0.674409906,-0.15,0.007864988
0.000410753,0.677635013,-0.15,0.007915004
0.000687002,0.680854905,-0.15,0.007965447
0.000965584,0.684069564,-0.15,0.008016316
0.00124649,0.687278974,-0.15,0.008067609
0.001529712,0.690483118,-0.15,0.008119325
0.001815241,0.69368198,-0.15,0.008171463
0.00210307,0.696875543,-0.15,0.008224021
0.002393188,0.70006379,-0.15,0.008276996
0.002685589,0.703246705,-0.15,0.008330389
0.002980264,0.706424273,-0.15,0.008384196
0.003277203,0.709596477,-0.15,0.008438417
0.003576399,0.712763301,-0.15,0.00849305
0.003877843,0.715924728,-0.15,0.008548094
0.004181527,0.719080744,-0.15,0.008603547
0.004487442,0.722231332,-0.15,0.008659407
0.004795579,0.725376477,-0.15,0.008715673
0.005105931,0.728516163,-0.15,0.008772343
0.005418488,0.731650375,-0.15,0.008829416
0.005733243,0.734779097,-0.15,0.00888689
0.006050186,0.737902314,-0.15,0.008944764
0.00636931,0.74102001,-0.15,0.009003036
0.006690606,0.744132171,-0.15,0.009061705
0.007014065,0.747238782,-0.15,0.009120768
0.007339679,0.750339827,-0.15,0.009180225
0.00766744,0.753435293,-0.15,0.009240075
0.007997339,0.756525163,-0.15,0.009300314
0.008329368,0.759609423,-0.15,0.009360943
0.008663518,0.762688059,-0.15,0.009421958
0.00899978,0.765761057,-0.15,0.00948336
0.009338147,0.768828401,-0.15,0.009545146
0.00967861,0.771890078,-0.15,0.009607314
0.010021161,0.774946073,-0.15,0.009669864
0.01036579,0.777996372,-0.15,0.009732793
0.010712491,0.781040962,-0.15,0.009796101
0.011061253,0.784079827,-0.15,0.009859785
0.01141207,0.787112955,-0.15,0.009923844
0.011764931,0.790140331,-0.15,0.009988276
0.01211983,0.793161942,-0.15,0.010053081
0.012476758,0.796177775,-0.15,0.010118256
0.012835706,0.799187815,-0.15,0.0101838
0.013196665,0.802192049,-0.15,0.010249711
0.013559629,0.805190464,-0.15,0.010315988
0.013924587,0.808183047,-0.15,0.01038263
0.014291532,0.811169784,-0.15,0.010449634
0.014660455,0.814150663,-0.15,0.010516999
0.015031348,0.81712567,-0.15,0.010584724
0.015404203,0.820094793,-0.15,0.010652807
